date,instance_id,instance_type,environment,pricing_model,cpu_avg_percent,memory_avg_percent,hours_used,daily_cost_usd
01-07-2025,i-42098,t3.medium,dev,spot,36.84,90.81,16,0.33
01-07-2025,i-98696,m5.large,dev,spot,67.22,60.89,13,0.62
01-07-2025,i-14165,c5.large,dev,spot,18.26,23.26,18,0.77
01-07-2025,i-76237,t3.medium,dev,on_demand,9.94,83.62,15,0.62
01-07-2025,i-95181,c5.large,dev,spot,56.09,70.19,15,0.64
01-07-2025,i-87236,c5.large,staging,on_demand,6.75,92.44,19,1.62
01-07-2025,i-65392,m5.xlarge,dev,on_demand,75.76,28.05,23,4.42
01-07-2025,i-54118,m5.xlarge,staging,on_demand,20.46,25.59,15,2.88
01-07-2025,i-57052,t3.medium,dev,reserved,30.86,54.6,13,0.38
01-07-2025,i-15695,m5.xlarge,prod,reserved,41.72,34.75,24,3.23
01-07-2025,i-20328,m5.2xlarge,prod,on_demand,57.01,21.86,18,6.91
01-07-2025,i-57400,c5.large,staging,spot,29.83,41.14,21,0.89
01-07-2025,i-16006,c5.large,dev,spot,43.77,76.74,13,0.55
01-07-2025,i-23238,m5.large,staging,on_demand,21.97,53.71,15,1.44
01-07-2025,i-57819,m5.2xlarge,staging,reserved,55.36,13.95,22,5.91
01-07-2025,i-97841,m5.large,staging,reserved,56.64,24.49,15,1.01
01-07-2025,i-19358,m5.xlarge,prod,spot,10.53,90.66,22,2.11
01-07-2025,i-42087,c5.large,prod,on_demand,87.08,78.71,20,1.7
01-07-2025,i-93886,m5.large,staging,reserved,30.89,18.3,16,1.08
01-07-2025,i-17331,c5.large,dev,spot,63.16,47.41,17,0.72
02-07-2025,i-45093,m5.large,dev,reserved,15.37,52.09,18,1.21
02-07-2025,i-51245,t3.medium,dev,spot,7.92,87.29,23,0.48
02-07-2025,i-94259,m5.large,prod,reserved,27,66.31,18,1.21
02-07-2025,i-42325,m5.2xlarge,dev,reserved,31.5,54.21,14,3.76
02-07-2025,i-86622,c5.large,prod,reserved,51.47,25.71,23,1.37
02-07-2025,i-38746,m5.2xlarge,prod,reserved,87.41,75.89,17,4.57
02-07-2025,i-16175,m5.large,prod,reserved,84.86,86.06,13,0.87
02-07-2025,i-99192,t3.medium,dev,spot,55.82,88.36,14,0.29
02-07-2025,i-60019,m5.2xlarge,prod,on_demand,12.52,26.66,18,6.91
02-07-2025,i-82512,c5.large,staging,spot,8.84,37.65,16,0.68
02-07-2025,i-99353,t3.medium,prod,spot,38.04,33.06,13,0.27
02-07-2025,i-24621,c5.large,staging,spot,75.44,40.32,17,0.72
02-07-2025,i-10425,m5.xlarge,staging,on_demand,28.88,56.13,19,3.65
02-07-2025,i-23947,m5.xlarge,prod,on_demand,16.98,78.19,20,3.84
02-07-2025,i-36071,m5.xlarge,prod,spot,11.34,93.89,21,2.02
02-07-2025,i-79514,m5.large,staging,on_demand,70.64,26.89,20,1.92
02-07-2025,i-12552,t3.medium,prod,reserved,5.47,79.31,19,0.55
02-07-2025,i-17592,t3.medium,staging,reserved,65.08,71.97,15,0.44
02-07-2025,i-73699,m5.large,prod,on_demand,70.56,16.29,13,1.25
02-07-2025,i-96474,t3.medium,prod,on_demand,35.47,19.85,14,0.58
03-07-2025,i-79163,m5.2xlarge,prod,on_demand,78.36,62.98,16,6.14
03-07-2025,i-36365,c5.large,staging,on_demand,33.13,15.4,20,1.7
03-07-2025,i-58944,m5.xlarge,staging,spot,31.43,37.64,22,2.11
03-07-2025,i-42493,m5.2xlarge,prod,reserved,67.02,64.19,13,3.49
03-07-2025,i-87110,m5.large,dev,reserved,80.41,50.14,12,0.81
03-07-2025,i-10942,c5.large,dev,spot,15.17,70.63,15,0.64
03-07-2025,i-40007,t3.medium,prod,spot,69.67,57.71,12,0.25
03-07-2025,i-77391,t3.medium,dev,reserved,70.53,51.97,13,0.38
03-07-2025,i-38080,m5.large,staging,spot,49.43,46.34,19,0.91
03-07-2025,i-85525,c5.large,dev,spot,7.16,19.17,21,0.89
03-07-2025,i-63354,m5.2xlarge,dev,reserved,7.67,64.09,24,6.45
03-07-2025,i-66498,m5.large,dev,on_demand,31.72,53.23,22,2.11
03-07-2025,i-17100,m5.xlarge,staging,reserved,82.14,31.19,19,2.55
03-07-2025,i-54473,t3.medium,dev,reserved,39.88,74.22,23,0.67
03-07-2025,i-80292,t3.medium,dev,on_demand,24.45,16.54,15,0.62
03-07-2025,i-46509,m5.2xlarge,dev,reserved,29.63,23.7,14,3.76
03-07-2025,i-82132,m5.2xlarge,dev,on_demand,84.02,78.69,19,7.3
03-07-2025,i-11934,t3.medium,dev,spot,58.84,84.07,20,0.42
03-07-2025,i-73653,t3.medium,dev,on_demand,73.31,25.86,18,0.75
03-07-2025,i-31579,m5.2xlarge,dev,reserved,80.87,55.84,12,3.23
04-07-2025,i-69638,m5.2xlarge,dev,reserved,73.63,86.17,16,4.3
04-07-2025,i-82845,m5.xlarge,staging,spot,32.03,19.35,23,2.21
04-07-2025,i-38534,m5.2xlarge,dev,on_demand,24.37,46.3,16,6.14
04-07-2025,i-17989,t3.medium,prod,spot,74.53,83.16,20,0.42
04-07-2025,i-72493,m5.xlarge,dev,on_demand,5.59,53.41,21,4.03
04-07-2025,i-76562,c5.large,prod,on_demand,40.48,28.88,12,1.02
04-07-2025,i-18907,t3.medium,dev,on_demand,15.19,38.7,21,0.87
04-07-2025,i-42271,m5.large,staging,on_demand,85.15,37.47,21,2.02
04-07-2025,i-20745,c5.large,prod,on_demand,49.1,69.76,21,1.79
04-07-2025,i-78522,m5.2xlarge,prod,spot,35.91,92.6,21,4.03
04-07-2025,i-51180,m5.xlarge,staging,on_demand,86.81,31.4,22,4.22
04-07-2025,i-98039,m5.large,staging,reserved,47.27,35.57,14,0.94
04-07-2025,i-19508,m5.xlarge,staging,reserved,29.21,13.14,24,3.23
04-07-2025,i-23104,t3.medium,staging,spot,56.81,52.73,21,0.44
04-07-2025,i-44760,t3.medium,prod,on_demand,9.38,33.68,20,0.83
04-07-2025,i-58434,m5.large,staging,on_demand,82.2,30.36,15,1.44
04-07-2025,i-49651,m5.xlarge,dev,reserved,17.32,51.6,20,2.69
04-07-2025,i-97538,c5.large,prod,spot,88.78,30.57,12,0.51
04-07-2025,i-27601,c5.large,staging,spot,62.13,74.74,13,0.55
04-07-2025,i-82512,m5.xlarge,dev,on_demand,25.2,71.9,23,4.42
05-07-2025,i-37607,m5.large,staging,reserved,36.26,63.75,21,1.41
05-07-2025,i-44600,m5.xlarge,dev,spot,58.85,55.54,22,2.11
05-07-2025,i-22097,c5.large,staging,reserved,12.67,81,12,0.71
05-07-2025,i-53719,m5.2xlarge,staging,on_demand,32.27,25.85,12,4.61
05-07-2025,i-67912,m5.large,prod,reserved,8.47,60.23,14,0.94
05-07-2025,i-11267,c5.large,prod,reserved,62.59,11.41,20,1.19
05-07-2025,i-81511,t3.medium,dev,spot,48.53,29.25,14,0.29
05-07-2025,i-29410,t3.medium,staging,spot,59.84,24.82,20,0.42
05-07-2025,i-57795,m5.2xlarge,dev,on_demand,63.73,42.87,16,6.14
05-07-2025,i-42706,t3.medium,staging,on_demand,84.62,21.69,22,0.92
05-07-2025,i-91351,t3.medium,staging,spot,33.99,19.65,18,0.37
05-07-2025,i-33206,m5.large,dev,on_demand,83.6,84.57,24,2.3
05-07-2025,i-53540,m5.2xlarge,dev,on_demand,26.93,66.1,23,8.83
05-07-2025,i-42527,m5.2xlarge,prod,spot,74.46,57.19,24,4.61
05-07-2025,i-60140,m5.xlarge,dev,spot,50.02,30.56,13,1.25
05-07-2025,i-70332,t3.medium,staging,on_demand,12.91,86.26,15,0.62
05-07-2025,i-13101,m5.xlarge,staging,on_demand,81.54,63.81,15,2.88
05-07-2025,i-19099,m5.large,staging,reserved,33.82,39.68,16,1.08
05-07-2025,i-62386,m5.xlarge,staging,spot,66.71,86.25,20,1.92
05-07-2025,i-44237,c5.large,staging,on_demand,80.4,76.29,13,1.1
06-07-2025,i-24208,m5.large,prod,reserved,59.57,17.15,12,0.81
06-07-2025,i-51114,c5.large,staging,reserved,18.74,86.38,23,1.37
06-07-2025,i-60488,m5.2xlarge,prod,spot,56.55,10.78,13,2.5
06-07-2025,i-67154,c5.large,dev,reserved,13.63,66.4,12,0.71
06-07-2025,i-97900,t3.medium,prod,spot,5.43,23.67,22,0.46
06-07-2025,i-97062,m5.large,staging,reserved,51.64,68.81,13,0.87
06-07-2025,i-26334,m5.xlarge,prod,reserved,60.42,29.06,22,2.96
06-07-2025,i-63528,m5.xlarge,prod,reserved,65.54,30.17,22,2.96
06-07-2025,i-82667,m5.xlarge,staging,spot,32.66,73.45,16,1.54
06-07-2025,i-59695,m5.large,dev,reserved,60.22,82.18,22,1.48
06-07-2025,i-63225,m5.large,prod,spot,60.9,58.31,16,0.77
06-07-2025,i-37549,c5.large,dev,reserved,12.96,41.26,16,0.95
06-07-2025,i-52237,m5.2xlarge,prod,spot,27.54,30.74,22,4.22
06-07-2025,i-38010,m5.2xlarge,staging,reserved,87.71,43.41,22,5.91
06-07-2025,i-96356,c5.large,staging,spot,80.82,63.65,14,0.6
06-07-2025,i-92960,t3.medium,staging,spot,72.56,52.72,22,0.46
06-07-2025,i-40784,c5.large,staging,on_demand,54.04,51.86,24,2.04
06-07-2025,i-13201,m5.xlarge,dev,on_demand,21.6,71.41,14,2.69
06-07-2025,i-19545,t3.medium,dev,reserved,28.87,12.07,21,0.61
06-07-2025,i-35485,m5.2xlarge,staging,spot,59.87,25.05,21,4.03
07-07-2025,i-29342,m5.2xlarge,staging,reserved,84.94,91.08,15,4.03
07-07-2025,i-33053,t3.medium,dev,reserved,82.76,41.46,15,0.44
07-07-2025,i-42662,c5.large,staging,on_demand,6.31,88.91,20,1.7
07-07-2025,i-70901,t3.medium,staging,on_demand,41.4,92.17,24,1
07-07-2025,i-68008,c5.large,prod,spot,86.91,82.51,17,0.72
07-07-2025,i-81810,c5.large,prod,spot,30.03,42.73,18,0.77
07-07-2025,i-68991,m5.2xlarge,dev,spot,77.35,36.94,19,3.65
07-07-2025,i-78327,m5.xlarge,dev,spot,19.41,57.33,16,1.54
07-07-2025,i-67654,m5.2xlarge,prod,on_demand,84.57,69.16,16,6.14
07-07-2025,i-45614,t3.medium,prod,reserved,53.46,18.26,15,0.44
07-07-2025,i-28136,m5.xlarge,staging,spot,57.28,94.15,13,1.25
07-07-2025,i-30028,m5.large,dev,reserved,16.91,54.06,23,1.55
07-07-2025,i-53369,m5.large,dev,reserved,79.58,72.97,18,1.21
07-07-2025,i-37110,c5.large,staging,reserved,64.25,69.71,12,0.71
07-07-2025,i-12560,m5.2xlarge,staging,spot,35.56,34.96,23,4.42
07-07-2025,i-56105,c5.large,staging,reserved,73.8,78.86,12,0.71
07-07-2025,i-81582,m5.xlarge,staging,reserved,78.7,87.63,20,2.69
07-07-2025,i-45774,c5.large,dev,reserved,48.46,52.63,15,0.89
07-07-2025,i-54057,m5.2xlarge,staging,on_demand,72.86,65.25,18,6.91
07-07-2025,i-26728,m5.2xlarge,prod,on_demand,64.67,77.64,19,7.3
08-07-2025,i-87580,c5.large,prod,on_demand,80.65,38.73,18,1.53
08-07-2025,i-94246,c5.large,prod,on_demand,36.92,17.99,13,1.1
08-07-2025,i-16590,m5.2xlarge,dev,reserved,54.15,13.06,14,3.76
08-07-2025,i-69598,m5.xlarge,staging,reserved,44.58,56.12,15,2.02
08-07-2025,i-65255,m5.xlarge,staging,reserved,29.36,60.22,16,2.15
08-07-2025,i-80702,m5.xlarge,dev,reserved,7.59,13.17,12,1.61
08-07-2025,i-18993,t3.medium,staging,on_demand,74.92,40.62,22,0.92
08-07-2025,i-12671,t3.medium,dev,on_demand,15.8,54.39,15,0.62
08-07-2025,i-72070,c5.large,dev,on_demand,70.45,28.34,14,1.19
08-07-2025,i-43586,t3.medium,prod,on_demand,57.95,17.25,19,0.79
08-07-2025,i-25012,m5.xlarge,dev,spot,9.39,55.17,21,2.02
08-07-2025,i-13365,m5.large,staging,on_demand,50.95,64.18,21,2.02
08-07-2025,i-61990,m5.xlarge,prod,spot,66.72,92.95,18,1.73
08-07-2025,i-92213,m5.large,dev,spot,48.89,37.45,23,1.1
08-07-2025,i-49529,m5.large,dev,spot,72.59,33.02,24,1.15
08-07-2025,i-15383,c5.large,dev,spot,42.31,16.67,24,1.02
08-07-2025,i-58571,m5.xlarge,prod,reserved,7.15,91.83,22,2.96
08-07-2025,i-11658,t3.medium,prod,spot,76.06,69.16,17,0.35
08-07-2025,i-57472,m5.2xlarge,staging,on_demand,39.76,24.73,18,6.91
08-07-2025,i-33086,m5.2xlarge,prod,on_demand,18.3,31.27,18,6.91
09-07-2025,i-80539,c5.large,prod,reserved,51.68,70.74,21,1.25
09-07-2025,i-87656,m5.2xlarge,staging,reserved,61.12,33.79,23,6.18
09-07-2025,i-46559,m5.xlarge,staging,on_demand,86.16,72.72,13,2.5
09-07-2025,i-89997,m5.2xlarge,dev,reserved,52.12,62,21,5.64
09-07-2025,i-52600,m5.2xlarge,staging,on_demand,40.67,31.06,19,7.3
09-07-2025,i-43862,m5.large,staging,on_demand,35.26,74.42,17,1.63
09-07-2025,i-46211,m5.xlarge,staging,spot,6.22,19.87,23,2.21
09-07-2025,i-21221,c5.large,dev,spot,8.91,13.46,15,0.64
09-07-2025,i-82768,m5.large,prod,reserved,77.71,69.81,19,1.28
09-07-2025,i-74332,m5.large,prod,reserved,45.3,18.32,22,1.48
09-07-2025,i-39045,m5.2xlarge,dev,on_demand,46.79,50.25,16,6.14
09-07-2025,i-97026,m5.2xlarge,prod,on_demand,19.72,46.88,16,6.14
09-07-2025,i-79588,c5.large,staging,reserved,38.87,62.35,20,1.19
09-07-2025,i-53357,m5.xlarge,staging,spot,58.98,13.85,20,1.92
09-07-2025,i-50189,m5.xlarge,prod,reserved,36.84,63.2,16,2.15
09-07-2025,i-35242,m5.xlarge,dev,on_demand,47.77,82.8,23,4.42
09-07-2025,i-34267,m5.xlarge,dev,spot,60.99,23.85,20,1.92
09-07-2025,i-46241,m5.large,dev,spot,11,64.61,19,0.91
09-07-2025,i-23176,c5.large,prod,spot,7.25,59.79,16,0.68
09-07-2025,i-33519,m5.large,staging,on_demand,84.92,58.92,17,1.63
10-07-2025,i-26591,m5.xlarge,dev,spot,37.99,64.68,20,1.92
10-07-2025,i-48290,m5.xlarge,dev,on_demand,43.95,56.38,20,3.84
10-07-2025,i-11607,m5.large,prod,reserved,85.02,42.82,13,0.87
10-07-2025,i-67733,c5.large,staging,reserved,86.7,86.95,19,1.13
10-07-2025,i-72616,m5.xlarge,dev,on_demand,21.64,15.9,16,3.07
10-07-2025,i-19710,t3.medium,dev,reserved,13.57,11.55,19,0.55
10-07-2025,i-29887,c5.large,prod,spot,13.03,68.06,12,0.51
10-07-2025,i-42530,m5.large,prod,reserved,11.05,37.11,13,0.87
10-07-2025,i-88135,t3.medium,prod,reserved,76.81,11.98,21,0.61
10-07-2025,i-69049,c5.large,dev,spot,74.23,33.96,18,0.77
10-07-2025,i-50026,m5.2xlarge,staging,spot,15.04,69.22,18,3.46
10-07-2025,i-23006,c5.large,prod,on_demand,58.46,84.59,21,1.79
10-07-2025,i-96563,m5.large,prod,on_demand,67.48,78.3,16,1.54
10-07-2025,i-82350,t3.medium,dev,on_demand,28.97,25.08,14,0.58
10-07-2025,i-69048,t3.medium,dev,on_demand,68.8,78.58,18,0.75
10-07-2025,i-40340,c5.large,staging,reserved,89.19,45.07,12,0.71
10-07-2025,i-69510,m5.xlarge,prod,reserved,36.62,76,23,3.09
10-07-2025,i-91927,t3.medium,prod,on_demand,33.97,89.11,16,0.67
10-07-2025,i-25043,c5.large,prod,on_demand,77.97,46.46,18,1.53
10-07-2025,i-44816,c5.large,dev,spot,68.82,74.14,14,0.6
11-07-2025,i-50319,m5.large,dev,on_demand,13.77,86.72,14,1.34
11-07-2025,i-67560,c5.large,prod,spot,47.95,80.25,16,0.68
11-07-2025,i-62757,t3.medium,staging,spot,32.2,86.12,16,0.33
11-07-2025,i-67377,m5.xlarge,prod,spot,38.08,10.92,19,1.82
11-07-2025,i-52247,t3.medium,prod,on_demand,81.96,17.76,18,0.75
